title,abstract,doi,year,author,journal,source,normalized_title
Historic trophic decline in New England's coastal marine ecosystem.,"Overfishing is a worldwide occurrence that simplifies marine food webs, changes trophic patterns, and alters community structure, affecting not only the density of harvested species but also their trophic function. The northwestern Atlantic has a history of heavy fishing, and over the past century has also experienced destructive bottom fishing and harmful mobile fishing gear. After confirming that preservation solvent did not alter the nitrogen stable isotopes of preserved samples, we used museum specimens and modern samples to analyze nitrogen stable isotopes in tissues of two common demersal fishes pre-1950 (1850 to 1950) compared to 2021 to assess changes in trophic positions of coastal New England consumers over this time period. Both the mesopredator Centropristis striata (black sea bass) and the benthivore Stenotomus chrysops (scup) experienced significant declines in trophic position during this time. C. striata declined almost a full trophic level, S. chrysops declined half a trophic level, and these species are now occupying almost the same trophic position. Heavy fishing activities potentially shorten food chains, simplify trophic complexity, lessen the separation of trophic niches, and generally flatten food webs. The consequences of these within-species shifts are poorly investigated but could generate underappreciated cascading impacts on community structure and function. Archived natural-history collections are an invaluable resource for investigating ecological changes in natural communities through time. The evaluation of changing trophic positions via stable isotope analysis may allow fisheries managers to quantify large-scale effects of fishing on ecosystems and food webs over time.",10.1007/s00442-023-05410-0 [pii] and 10.1007/s00442-023-05410-0 [doi],2023 Jun,Willert MS and France CAM and Baldwin CC and Hay ME,Oecologia,PubMed,coastal decline ecosystem englands historic in marine new trophic
Competition and resource breadth shape niche variation and overlap in multiple trophic dimensions.,"Competition plays a central role in the maintenance of biodiversity. A backbone of classic niche theory is that local coexistence of competitors is favoured by the contraction or divergence of species' niches. However, this effect should depend on the diversity of resources available in the local environment, particularly when resources vary in multiple ecological dimensions. Here, we investigated how available resource breadth (i.e. prey diversity) and competition together shape multidimensional niche variation (between and within individuals) and interspecific niche overlap in 42 populations of congeneric tropical frog species. We modelled realized niches in two key trophic dimensions (prey size and carbon stable isotopes) and sampled available food resources to quantify two-dimensional resource breadth. We found a 14-fold variation in multidimensional population niche width across populations, most of which was accounted for by within-individual diet variation. This striking variation was predicted by an interaction whereby individual niche breadth increased with resource breadth and decreased with the number of congeneric competitors. These ecological gradients also interact to influence the degree of niche overlap between species, which surprisingly decreased with population total niche width, providing novel insights on how similar species can coexist in local communities. Together, our results emphasize that patterns of exploitation of resources in multiple dimensions are driven by both competitive interactions and extrinsic factors such as local resource breadth.",rspb20190369 [pii] and 10.1098/rspb.2019.0369 [doi],2019 May 15,Costa-Pereira R and Araújo MS and Souza FL and Ingram T,Proceedings. Biological sciences,PubMed,and and breadth competition dimensions in multiple niche overlap resource shape trophic variation
Human land-use changes the diets of sympatric native and invasive mammal species.,"The consequences of biological invasions and habitat degradation for native biodiversity depend on how species cope with the individual and synergetic challenges these processes present. To assess the impact of anthropogenic land-use on the food web architecture of an invaded community, we examine the diets of nine native and two highly invasive mammal species at different trophic levels, inhabiting different land-uses across six biogeographic regions in Tasmania, Australia. We use two complementary methods, environmental DNA metabarcoding analysis (eDNA) of faeces and stable isotope analysis (SIA) of nitrogen (N) and carbon (C) in whole blood, to account for the high interindividual and temporal variability in the diets of multiple species simultaneously. eDNA showed regionalisation in the diet of smaller species, with land-use further defining dietary taxa within each region. SIA revealed that bioregion and land-use influence the δ(13)C values of all carnivore species and omnivores, whereas the δ(15)N values of these species are influenced only by land-use and not bioregion. Including multiple species showed that native rats are changing their diet in response to the presence of invasive rats, an impact that would have otherwise been attributed to land-use. Our findings demonstrate that human activities and invasive species are moulding the diets of invaded communities, raising questions about the potential impacts that dietary modifications will have on the life-history traits and the evolutionary consequences these modifications might have on the survival of native species. This highlights the urgency of including human activities in ecological studies and the importance of targeting multispecies assemblages to gain a better understanding of synergetic impacts on native biodiversity.",ECE310800 [pii] and 10.1002/ece3.10800 [doi],2023 Dec,Chiu-Werner A and Jones M,Ecology and evolution,PubMed,and changes diets human invasive landuse mammal native of species sympatric the
You are what your host eats: The trophic structure and food chain length of a symbiont community are coupled with the plastic diet of the host ant.,"Food chain length provides key information on the flow of nutrients and energy in ecosystems. Variation in food chain length has primarily been explained by environmental drivers such as ecosystem size and productivity. Most insights are obtained from theory or aquatic systems, but the importance of these drivers remains largely untested in terrestrial systems. We exploited red wood ant nests markedly differing in size as natural experiments to quantify the drivers of trophic structure and food chain length of their symbiont arthropod communities. Using stable isotopes, we explored the variation in the trophic positions of four symbiont species with the trophic position of the top predator as a proxy for food chain length of the symbiont community. Nest size did not affect food chain length, nor trophic distance between the symbionts. Instead, food chain length and the trophic positions of the symbionts were strongly affected by the host's foraging decisions. When the host diet shifted from predominantly herbivorous to more predacious, the trophic position of the symbionts and food chain length strongly increased. We show for the first time that a food web can be structured by biotic interactions with an engineering species rather than by abiotic environmental variables.",10.1111/1365-2656.13994 [doi],2023 Oct,Parmentier T and Boeckx P and Bonte D and De Laender F,The Journal of animal ecology,PubMed,a and ant are are chain community coupled diet eats food host host length of of plastic structure symbiont the the the trophic what with you your
Invasive predator diet plasticity has implications for native fish conservation and invasive species suppression.,"Diet plasticity is a common behavior exhibited by piscivores to sustain predator biomass when preferred prey biomass is reduced. Invasive piscivore diet plasticity could complicate suppression success; thus, understanding invasive predator consumption is insightful to meeting conservation targets. Here, we determine if diet plasticity exists in an invasive apex piscivore and whether plasticity could influence native species recovery benchmarks and invasive species suppression goals. We compared diet and stable isotope signatures of invasive lake trout and native Yellowstone cutthroat trout (cutthroat trout) from Yellowstone Lake, Wyoming, U.S.A. as a function of no, low-, moderate-, and high-lake trout density states. Lake trout exhibited plasticity in relation to their density; consumption of cutthroat trout decreased 5-fold (diet proportion from 0.89 to 0.18) from low- to high-density state. During the high-density state, lake trout switched to amphipods, which were also consumed by cutthroat trout, resulting in high diet overlap (Schoener's index value, D = 0.68) between the species. As suppression reduced lake trout densities (moderate-density state), more cutthroat trout were consumed (proportion of cutthroat trout = 0.42), and diet overlap was released between the species (D = 0.30). A shift in lake trout δ13C signatures from the high- to the moderate-density state also corroborated increased consumption of cutthroat trout and lake trout diet plasticity. Observed declines in lake trout are not commensurate with expected cutthroat trout recovery due to lake trout diet plasticity. The abundance of the native species in need of conservation may take longer to recover due to the diet plasticity of the invasive species. The changes observed in diet, diet overlap, and isotopes associated with predator suppression provides more insight into conservation and suppression dynamics than using predator and prey biomass alone. By understanding these dynamics, we can better prepare conservation programs for potential feedbacks caused by invasive species suppression.",PONE-D-22-19581 [pii] and 10.1371/journal.pone.0279099 [doi],2023,Glassic HC and Guy CS and Tronstad LM and Lujan DR and Briggs MA and Albertson LK and Koel TM,PloS one,PubMed,and conservation diet fish for has implications invasive invasive native plasticity predator species suppression
"Deforestation-driven food-web collapse linked to emerging tropical infectious disease, Mycobacterium ulcerans.","Generalist microorganisms are the agents of many emerging infectious diseases (EIDs), but their natural life cycles are difficult to predict due to the multiplicity of potential hosts and environmental reservoirs. Among 250 known human EIDs, many have been traced to tropical rain forests and specifically freshwater aquatic systems, which act as an interface between microbe-rich sediments or substrates and terrestrial habitats. Along with the rapid urbanization of developing countries, population encroachment, deforestation, and land-use modifications are expected to increase the risk of EID outbreaks. We show that the freshwater food-web collapse driven by land-use change has a nonlinear effect on the abundance of preferential hosts of a generalist bacterial pathogen, Mycobacterium ulcerans. This leads to an increase of the pathogen within systems at certain levels of environmental disturbance. The complex link between aquatic, terrestrial, and EID processes highlights the potential importance of species community composition and structure and species life history traits in disease risk estimation and mapping. Mechanisms such as the one shown here are also central in predicting how human-induced environmental change, for example, deforestation and changes in land use, may drive emergence.",1600387 [pii] and 10.1126/sciadv.1600387 [doi],2016 Dec,Morris AL and Guégan JF and Andreou D and Marsollier L and Carolan K and Le Croller M and Sanhueza D and Gozlan RE,Science advances,PubMed,collapse deforestationdriven disease emerging foodweb infectious linked mycobacterium to tropical ulcerans
Drought altered trophic dynamics of an important natural saline lake: A stable isotope approach.,"Climate change and associated droughts threaten the ecology and resilience of natural saline lakes globally. There is a distinct lack of research regarding their ecological response to climatic events in the Global South. This region is predicted to experience climatic events such as El Niño-Southern Oscillation (ENSO) more often and with greater severity with the potential to alter the structure and functioning of aquatic ecosystems significantly. From 2015 to 2016 South Africa experienced one of the most severe country-wide droughts as a result of a strong ENSO event. Our study aimed to investigate the effect of this supra-seasonal drought on the trophic structure of fish communities in a naturally saline shallow lake of a Ramsar wetland using stable isotope techniques. Fishes and potential basal sources were collected from the lake, during predrought conditions in 2010 and after severe drought (recovery phase; 2017). The δ(13)C and δ(15)N values of food web elements were determined and analysed using Bayesian mixing models and Bayesian Laymen metrics to establish the proportional contribution of C(3) and C(4) basal sources to the fish (consumer) diets, and examine the fish community in terms of isotopic niche and trophic structure, respectively. Fish consumers relied predominantly on C(3) basal sources in the predrought and shifted to greater reliance on C(4) basal sources, decreased isotopic niche space use and a reduction in trophic length in the recovery phase. Drought altered the type and abundance of the basal sources available by limiting sources to those that are more drought-tolerant, reducing the trophic pathways of the food web with no significant alterations in the fish community. These results demonstrate the resilience and biological plasticity of Lake Nyamithi and its aquatic fauna, highlighting the importance of freshwater inflow to saline lakes with alterations thereof posing a significant threat to their continued functioning.",S0048-9697(22)02431-7 [pii] and 10.1016/j.scitotenv.2022.155338 [doi],2022 Aug 15,de Necker L and Brendonck L and Gerber R and Lemmens P and Soto DX and Ikenaka Y and Ishizuka M and Wepener V and Smit NJ,The Science of the total environment,PubMed,a altered an approach drought dynamics important isotope lake natural of saline stable trophic
"Stable Isotopes (δ(13)C and δ(15)N) and Trace Elements of Invertebrates and Fish from the Coastal Waters of Ha Tinh Province, Central Vietnam.","Stable isotope signatures (δ(13)C, δ(15)N) and trace elements (TEs) were analyzed from invertebrates and fish to assess food web structure and the biomagnification or biodilution of Cu, Pb, Cd, Zn, Mn, Cr, Hg and As in coastal waters of Ha Tinh Province, Central Vietnam. δ(13)C and δ(15)N values of purported food sources (sediments, phytoplankton, macroalgae, and zooplankton) ranged from -21.24 ± 0.39‰ to -16.72 ± 1.02‰ and from 3.02 ± 0.70‰ to 7.30 ± 0.42‰, respectively. The δ(13)C and δ(15)N values in invertebrates and fish ranged from -19.75 ± 0.10‰ to -18.68 ± 0.40‰, and from 7.02 ± 1.21‰ to 9.10 ± 0.29‰. The δ(15)N values showed that the food web structure could be divided into four trophic levels. The benthic invertebrates had significantly higher concentrations of Cu, Pb, Zn, Cd and As. Hg concentrations tended to accumulate higher in the crabs and fish. The biodilution of Pb, Cd, Zn, Cr was observed throughout the food web, whereas biomagnification was observed for Cr, Mn, and As in bivalves; Cd and Zn in gastropods; Pb, Cd, Zn, and As in crabs; Cd in prawns and Hg in fish.",10.1007/s00244-023-00992-5 [pii] and 10.1007/s00244-023-00992-5 [doi],2023 Oct,Dung LV and Tue NT and Lam PV and Quy TD and Canh VM and Tam ND and Nhuan MT,Archives of environmental contamination and toxicology,PubMed,and and and central coastal elements fish from ha invertebrates isotopes of of province stable the tinh trace vietnam waters δ13c δ15n
Food web differences between two neighboring tropical high mountain lakes and the influence of introducing a new top predator.,"High mountain lakes (HMLs) are considered unique and comparable ecosystems for monitoring global climate change. The food web structure can indicate the response of these ecosystems to ecological threats, such as fish introduction, by analyzing the trophic dynamics. Nonetheless, the food webs of tropical HMLs are less well-studied than temperate HMLs. The present study assessed the food webs of two neighboring (600 m apart) tropical HMLs, El Sol and La Luna, inside the crater of the Nevado de Toluca volcano, Mexico. It used stable isotopes (δ13C and δ15N) and Bayesian mixing models with different trophic discrimination factors and priors to assess the impacts of introduced rainbow trout, persisting only in the larger lake, El Sol. The food web in Lake El Sol was more complex than in Lake La Luna, mainly due to its larger size, extensive vegetated littoral zone, and being fueled by autochthonous primary production. In contrast, the smaller and fishless Lake La Luna has a reduced and bare littoral zone that harbored a simple food web substantially sustained by allochthonous carbon inputs. The persistence of introduced rainbow trout in Lake El Sol but not in Lake La Luna accentuated the differences between the lakes. The models suggested that rainbow trout fed on key consumers of littoral macroinvertebrates (70-80%) and pelagic zooplankton (20-30%), increasing the linkage between sub-networks. In both tropical HMLs, the species richness and herbivorous fraction were elevated compared with temperate HMLs, while the linkage density and omnivorous fraction were lower. Basal nodes dominated these tropical HMLs, and the vegetated littoral zone of Lake El Sol had more intermediate (omnivore) nodes. Our results showed the convenience of food web analysis to compare the effects of introduced fish in originally fishless lakes in different latitudes.",PONE-D-23-00604 [pii] and 10.1371/journal.pone.0287066 [doi],2023,Jiménez-Seinos JL and Alcocer J and Planas D,PloS one,PubMed,a and between differences food high influence introducing lakes mountain neighboring new of predator the top tropical two web
Species invasion progressively disrupts the trophic structure of native food webs.,"Species invasions can have substantial impacts on native species and ecosystems, with important consequences for biodiversity. How these disturbances drive changes in the trophic structure of native food webs through time is poorly understood. Here, we quantify trophic disruption in freshwater food webs to invasion by an apex fish predator, lake trout, using an extensive stable isotope dataset across a natural gradient of uninvaded and invaded lakes in the northern Rocky Mountains, USA. Lake trout invasion increased fish diet variability (trophic dispersion), displaced native fishes from their reference diets (trophic displacement), and reorganized macroinvertebrate communities, indicating strong food web disruption. Trophic dispersion was greatest 25 to 50 y after colonization and dissipated as food webs stabilized in later stages of invasion (>50 y). For the native apex predator, bull trout, trophic dispersion preceded trophic displacement, leading to their functional loss in late-invasion food webs. Our results demonstrate how invasive species progressively disrupt native food webs via trophic dispersion and displacement, ultimately yielding biological communities strongly divergent from those in uninvaded ecosystems.",2102179118 [pii] and 202102179 [pii] and 10.1073/pnas.2102179118 [doi],2021 Nov 9,Wainright CA and Muhlfeld CC and Elser JJ and Bourret SL and Devlin SP,Proceedings of the National Academy of Sciences of the United States of America,PubMed,disrupts food invasion native of progressively species structure the trophic webs
